
"31267","ACCURATE PRODUCTS CORPN PRIVA","A","","","NA"
"31268","ACCUTEST RESEARCH LABORATORIES","A","","","NA"
"31269","ACE DERIVATIVES AND COMMODITY","A","","","NA"
"31270","ACE DESIGNERS LIMITED","A","","","NA"
"31271","ACE MANUFACTURING SYSTEMS LIMI","A","","","NA"
"31272","ACE MULTI AXES SYSTEMS LTD","A","","","NA"
"31273","ACE TYRES LIMITED","A","","","NA"
"31274","ACER GRANITO PRIVATE LIMITED","A","","","NA"
"31275","ACER INDIA PRIVATE LIMITED","A","","","NA"
"31276","ACG INSPECTION SYSTEMS PRIVATE","A","","","NA"
"31277","ACG PHARMAPACK PRIVATE LIMITED","A","","","NA"
"31278","ACI WORLDWIDE SOLUTIONS PRIVAT","A","","","NA"
"31279","ACKNIT INDUSTRIES LIMITED","A","","","NA"
"31280","ACL MOBILE LIMITED","A","","","NA"
"31281","ACME CHEM LTD","A","","","NA"
"31282","ACME CLEANTECH SOLUTIONS PRIVA","A","","","NA"
"31283","ACME COMMODITIES PRIVATE LIMIT","A","","","NA"
"31284","ACME GENERICS LLP","A","","","NA"
"31285","ACREATY MANAGEMENT CONSULTANT","A","","","NA"
"31286","ACRYSIL LIMITED","A","","","NA"
"31287","ACRYSIL STEEL LIMITED","A","","","NA"
"31288","ACS GLOBAL TECH SOLUTIONS PVT","A","","","NA"
"31289","ACT INFRAPORT LIMITED","A","","","NA"
"31290","ACTION CONSTRUCTION EQUIPMENT","A","","","NA"
"31291","ACULIFE HEALTHCARE PRIVATE LIM","A","","","NA"
"31292","AD HYDRO POWER LIMITED","A","","","NA"
"31293","AD MANUM FINANCE LIMITED","A","","","NA"
"31294","ADAGE AUTOMATION PRIVATE LIMIT","A","","","NA"
"31295","ADAMA INDIA PRIVATE LIMITED","A","","","NA"
"31296","ADANI AGRI FRESH LIMITED","A","","","LIFE TIME FREE"
"31297","ADANI AGRI LOGISTICS LIMITED","A","","","NA"
"31298","ADANI BUNKERING PRIVATE LIMITE","A","","","NA"
"31299","ADANI ELECTRICITY MUMBAI LIMIT","SUPER A","","","LIFE TIME FREE"
"31300","ADANI ENTERPRISES LIMITED","A","","","NA"
"31301","ADANI GAS LIMITED","A","","","LIFE TIME FREE"
"31302","ADANI GREEN ENERGY TAMILNADU L","A","","","NA"
"31303","ADANI HAZIRA PORT PRIVATE LIMI","A","","","NA"
"31304","ADANI INTERNATIONAL CONTAINER","A","","","NA"
"31305","ADANI KANDLA BULK TERMINAL PRI","A","","","NA"
"31306","ADANI LOGISTICS LIMITED","A","","","NA"
"31307","ADANI PENCH POWER LTD","A","","","NA"
"31308","ADANI PETRONET DAHEJ PORT PR","A","","","LIFE TIME FREE"
"31309","ADANI POWER LIMITED","A","","","LIFE TIME FREE"
"31310","ADANI POWER MAHARASHTRA LIMITE","A","","","LIFE TIME FREE"
"31311","ADANI POWER MUNDRA LIMITED","A","","","NA"
"31312","ADANI POWER RAJASTHAN LIMITED","A","","","NA"
"31313","ADANI SHIPPING INDIA PRIVATE L","A","","","NA"
"31314","ADANI SYNENERGY LIMITED","A","","","NA"
"31315","ADANI TOWNSHIP  REAL ESTATE C","A","","","NA"
"31316","ADANI VIZAG COAL TERMINAL PRIV","A","","","NA"
"31317","ADANI VIZHINJAM PORT PRIVATE L","A","","","NA"
"31318","ADANI WILMAR LIMITED","A","","","LIFE TIME FREE"
"31319","ADAPTIVE CONTROL SECURITY GLOB","A","","","NA"
"31320","ADCOCK INGRAM LIMITED","A","","","NA"
"31321","ADD PENS PRIVATE LIMITED","A","","","NA"
"31322","ADDISON  CO LIMITED","A","","","NA"
"31323","ADDWRAP PACKAGING PRIVATE LIMI","A","","","NA"
"31324","ADECCO INDIA PVT LTD","A","","","NA"
"31325","ADFACTORS PR PRIVATE LIMITED","A","","","NA"
"31326","ADHUNIK ALLOYS  POWER LIMITED","A","","","NA"
"31327","ADHUNIK CEMENT LIMITED","A","","","NA"
"31328","ADHUNIK INFRASTRUCTURES PRIVAT","A","","","NA"
"31329","ADHUNIK POWER  NATURAL RESOUR","A","","","NA"
"31330","ADI FINECHEM LIMITED","A","","","NA"
"31331","ADIDAS INDIA MARKETING PVT LTD","A","","","NA"
"31332","ADIDAS INDIA PRIVATE LIMITED","A","","","NA"
"31333","ADIENT INDIA PRIVATE LIMITED","A","","","NA"
"31334","ADISHWAR INDIA LIMITED","A","","","NA"
"31335","ADITYA AGRI TECH PRIVATE LIMIT","A","","","NA"
"31336","ADITYA AUTO PRODUCTS AND ENGIN","A","","","NA"
"31337","ADITYA BIRLA CAPITAL ADVISORS","A","","","NA"
"31338","ADITYA BIRLA CAPITAL LIMITED","SUPER A","","","LIFE TIME FREE"
"31339","ADITYA BIRLA FINANCIAL SERVICE","A","","","NA"
"31340","ADITYA BIRLA FINANCIAL SHARED","A","","","NA"
"31341","ADITYA BIRLA HEALTH INSURANCE","A","","","NA"
"31342","ADITYA BIRLA HEALTH SERVICES L","A","","","NA"
"31343","ADITYA BIRLA IDEA PAYMENTS BAN","A","","","NA"
"31344","ADITYA BIRLA MONEY LIMITED","A","","","LIFE TIME FREE"
"31345","ADITYA BIRLA MONEY MART LIMITE","A","","","NA"
"31346","ADITYA BIRLA MYUNIVERSE LIMITE","A","","","NA"
"31347","ADITYA BIRLA ONLINE FASHION PR","A","","","NA"
"31348","ADITYA BIRLA RETAIL LIMITED","A","","","NA"
"31349","ADITYA BIRLA SCIENCE AND TECHN","A","","","NA"
"31350","ADITYA BIRLA SUN LIFE AMC LIMI","A","","","NA"
"31351","ADITYA BIRLA SUN LIFE INSURANC","SUPER A","","","LIFE TIME FREE"
"31352","ADITYA DISPOMED PRODUCTS PRIVA","A","","","NA"
"31353","ADITYA FLEXIPACK LLP","A","","","NA"
"31354","ADITYA INFOTECH LIMITED","A","","","NA"
"31355","ADITYA MEDISALES LIMITED","A","","","NA"
"31356","ADITYA VIDYUT APPLIANCES LTD","A","","","NA"
"31357","ADM AGRO INDUSTRIES INDIA PVT","A","","","NA"
"31358","ADM AGRO INDUSTRIES KOTA  AKO","A","","","NA"
"31359","ADOR FONTECH LIMITED","A","","","NA"
"31360","ADOR POWERTRON LIMITED","A","","","NA"
"31361","ADP INDIA PRIVATE LIMITED","A","","","NA"
"31362","ADP PVT LTD","A","","","NA"
"31363","ADRENALIN ESYSTEMS LIMITED","A","","","NA"
"31364","ADVA OPTICAL NETWORKING INDIA","A","","","NA"
"31365","ADVAIT TECHSERVE INDIA PVT L","A","","","NA"
"31366","ADVAITH MOTORS PRIVATE LIMITED","A","","","NA"
"31367","ADVANCE FORGINGS PRIVATE LIMIT","A","","","NA"
"31368","ADVANCE PANELS AND SWITCHGEARS","A","","","NA"
"31369","ADVANCE POWER DISPLAY SYSTEM L","A","","","NA"
"31370","ADVANCE STEEL TUBES LIMITED","A","","","NA"
"31371","ADVANCE SURFACTANTS LIMITD","A","","","NA"
"31372","ADVANCE VALVES PVT LTD","A","","","NA"
"31373","ADVANI HOTELS AND RESORTS IND","A","","","NA"
"31374","ADVANTAGE OVERSEAS PRIVATE LIM","A","","","NA"
"31375","ADVENT ENVIROCARE TECHNOLOGY P","A","","","NA"
"31376","ADVICS NORTH INDIA PRIVATE LIM","A","","","NA"
"31377","ADVIK HITECH PRIVATE LIMITED","A","","","NA"
"31378","ADYANT EDUCATION PRIVATE LIMIT","A","","","NA"
"31379","ADYAR ANANDA BHAVAN SWEETS IND","A","","","NA"
"31380","ADYAR GATE HOTELS LIMITED","A","","","NA"
"31381","AECOM INDIA PRIVATE LIMITED","A","","","NA"
"31382","AEGIS ASPIRE CONSULTANCY SERVI","A","","","NA"
"31383","AEGIS GAS LPG PRIVATE LIMITE","A","","","NA"
"31384","AEGIS LIMITED","A","","","NA"
"31385","AEGIS LOGISTICS LIMITED","A","","","NA"
"31386","AEGON LIFE INSURANCE COMPANYLI","A","","","NA"
"31387","AEQUS AUTOMOTIVE PRIVATE LIMIT","A","","","NA"
"31388","AEQUS PRIVATE LIMITED","A","","","NA"
"31389","AEROBOK SHOE PRIVATE LIMITED","A","","","NA"
"31390","AEROSPACE PROCESSING INDIA PVT","A","","","NA"
"31391","AEROSTRUCTURES MANUFACTURING I","A","","","NA"
"31392","AES INDIA PRIVATE LIMITED","A","","","NA"
"31393","AFCONS INFRASTRUCTURE LIMITED","A","","","NA"
"31394","AFFINE ANALYTICS PRIVATE LIMIT","A","","","NA"
"31395","AFFINITY EXPRESS INDIA PRIVATE","A","","","NA"
"31396","AFFLATUS GRAVURES PRIVATE LIMI","A","","","NA"
"31397","AFFLUENCE COMMODITIES PRIVATE","A","","","NA"
"31398","AGARVANSHI ALUMINIUM LIMITED","A","","","NA"
"31399","AGARWAL ASSOCIATES PRIVATE LIM","A","","","NA"
"31400","AGARWAL ASSOCIATES PROMOTERS","A","","","NA"
"31401","AGARWAL COAL CORPORATION PRIVA","A","","","NA"
"31402","AGARWAL PACKERS AND MOVERS LIM","A","","","NA"
"31403","AGARWAL TRANSPORT CORPORATION","A","","","NA"
"31404","AGILE AIRPORT SERVICES PRIVATE","A","","","NA"
"31405","AGILE ELECTRIC SUB ASSEMBLY PR","A","","","NA"
"31406","AGILE SECURITY FORCE PRIVATE L","A","","","NA"
"31407","AGILENT TECHNOLOGIES INDIA PVT","C","","","LIFE TIME FREE"
"31408","AGILENT TECHNOLOGIES INTERNAT","A","","","NA"
"31409","AGILITY E SERVICES PRIVATE LIM","A","","","NA"
"31410","AGILITY LOGISTICS PRIVATE LIMI","A","","","NA"
"31411","AGMA POLYMERS PRIVATE LIMITED","A","","","NA"
"31412","AGRAWAL METAL WORKS PRIVATE LI","A","","","NA"
"31413","AGRICO ORGANICS LIMITED","A","","","NA"
"31414","AGRIMAS CHEMICALS LIMITED","A","","","NA"
"31415","AGRO TECH FOODS LIMITED","A","","","NA"
"31416","AGROCEL INDUSTRIES PRIVATE LIM","A","","","NA"
"31417","AGROCROPS EXIM LIMITED","A","","","NA"
"31418","AGROH INFRASTRUCTURE DEVELOPER","A","","","NA"
"31419","AGS HEALTH PRIVATE LIMITED","A","","","NA"
"31420","AGS TRANSACT TECHNOLOGIES LIMI","A","","","NA"
"31421","AGSON GLOBAL PVT LTD","A","","","NA"
"31422","AHAAR CONSUMER PRODUCTS PRIVAT","A","","","NA"
"31423","AHLCON PARENTERALS INDIA LIM","A","","","NA"
"31424","AHMEDABAD RING ROAD INFRASTRUC","A","","","NA"
"31425","AHMEDABAD STRIPS PRIVATE LIMIT","A","","","NA"
"31426","AIMIL LIMITED","A","","","NA"
"31427","AION INDIA INVESTMENT ADVISORS","A","","","NA"
"31428","AIP INDIA PVT LTD","A","","","NA"
"31429","AIPL AMBUJA HOUSING AND URBAN","A","","","NA"
"31430","AIPL MARKETING PRIVATE LIMITED","A","","","NA"
"31431","AIR ARABIA PJSC","A","","","NA"
"31432","AIR INDIA SATS AIRPORT SERVICE","A","","","NA"
"31433","AIR INTERNATIONAL TTR THERMAL","A","","","NA"
"31434","AIR MAURITIUS LTD","A","","","NA"
"31435","AIR TRAVEL BUREAU LIMITED","A","","","NA"
"31436","AIRBUS GROUP INDIA PRIVATE LIM","A","","","NA"
"31437","AIREN METALS PVT LTD","A","","","NA"
"31438","AIRPLAZA RETAIL HOLDINGS PRIVA","A","","","NA"
"31439","AIRTEL PAYMENTS BANK LIMITED","A","","","NA"
"31440","AIZANT DRUG RESEARCH SOLUTIONS","A","","","NA"
"31441","AJANTA MANUFACTURING LIMITED","A","","","NA"
"31442","AJANTA PHARMA LIMITED","A","","","LIFE TIME FREE"
"31443","AJANTA SOYA LIMITED TRANSFER","A","","","NA"
"31444","AJAX FIORI ENGINEERING INDIA","A","","","NA"
"31445","AJAY ENTERPRISES PVT LTD","A","","","NA"
"31446","AJAY INDUSTRIAL CORPORATION LI","A","","","NA"
"31447","AJEET SEEDS PRIVATE LIMITED","A","","","NA"
"31448","AJIT INDUSTRIES PRIVATE LIMITE","A","","","NA"
"31449","AJNARA INDIA LIMITED","A","","","NA"
"31450","AJNI INDUSTRIES PRIVATE LIMITE","A","","","NA"
"31451","AJS IMPEX PRIVATE LIMITED","A","","","NA"
"31452","AJSTATIONERY PRIVATE LIMITED","A","","","NA"
"31453","AK STOCKMART PRIVATE LIMITED","A","","","NA"
"31454","AKA LOGISTICS PVT LTD","A","","","NA"
"31455","AKAMAI TECHNOLOGIES INDIA PRIV","A","","","NA"
"31456","AKAMAI TECHNOLOGIES SOLUTIONS","A","","","NA"
"31457","AKASH AGRO INDUSTRIES LTD","A","","","NA"
"31458","AKAY FLAVOURS AND AROMATICS PV","A","","","NA"
"31459","AKBAR TRAVELS OF INDIA PRIVATE","A","","","NA"
"31460","AKR EXPRESS PRIVATE LIMITED","A","","","NA"
"31461","AKSH OPTIFIBRE LIMITED","A","","","NA"
"31462","AKSHAR IMPEX PRIVATE LIMITED","A","","","NA"
"31463","AKSHARA SPINNING MILLS PVT LTD","A","","","NA"
"31464","AKSHARCHEM INDIA  LIMITED","A","","","NA"
"31465","AKSHATA MERCANTILE PVT LTD","A","","","NA"
"31466","AKUMS DRUGS AND PHARMACEUTICAL","A","","","NA"
"31467","AKZO NOBEL INDIA LIMITED","A","","","LIFE TIME FREE"
"31468","AL KABEER EXPORTS PRIVATE LIMI","A","","","NA"
"31469","AL NAFEES PROTEINS PRIVATE LIM","A","","","NA"
"31470","ALAKH ADVERTISING AND PUBLICIT","A","","","NA"
"31471","ALBERT DAVID LTD","A","","","NA"
"31472","ALCATELLUCENT MANAGED SOLUTIO","A","","","NA"
"31473","ALCHEM INTERNATIONAL PRIVATE L","A","","","NA"
"31474","ALCHEMY CAPITAL MANAGEMENT PRI","A","","","NA"
"31475","ALCOBREW DISTILLERIES INDIA PR","A","","","NA"
"31476","ALCON LABORATORIES INDIA PRI","A","","","NA"
"31477","ALE INDIA PRIVATE LIMITED","A","","","NA"
"31478","ALEMBIC LIMITED","A","","","NA"
"31479","ALF ENGINEERING PRIVATE LIMITE","A","","","NA"
"31480","ALIANCA LOGISTICS PRIVATE LIMI","A","","","NA"
"31481","ALICON CASTALLOY LIMITED","A","","","NA"
"31482","ALIGN RETAIL TRADES PVT LTD","A","","","NA"
"31483","ALINA PRIVATE LIMITED","A","","","NA"
"31484","ALISHA TORRENT CLOSURES INDIA","A","","","NA"
"31485","ALKRAFT THERMOTECHNOLOGIES PRI","A","","","NA"
"31486","ALKYL AMINES CHEMICALS LIMITED","A","","","NA"
"31487","ALL NIPPON AIRWAYS CO LTD","A","","","NA"
"31488","ALL SERVICES GLOBAL PRIVATE LI","A","","","NA"
"31489","ALL TIME PLASTICS PRIVATE LIMI","A","","","NA"
"31490","ALLANA COLD STORAGE PRIVATE LI","A","","","NA"
"31491","ALLCARGO LOGISTICS LIMITED","A","","","NA"
"31492","ALLEGIS GLOBAL SOLUTIONS INDIA","A","","","NA"
"31493","ALLEGIS SERVICES INDIA PRIVATE","A","","","NA"
"31494","ALLEN REINFORCED PLASTICS PVT","A","","","NA"
"31495","ALLENGERS MEDICAL SYSTEMS LIMI","A","","","NA"
"31496","ALLIANCE DENTAL CARE LIMITED","A","","","NA"
"31497","ALLIANCE INSURANCE BROKERS PRI","A","","","NA"
"31498","ALLIANCE INTEGRATED METALIKS L","A","","","NA"
"31499","ALLIANZ CORNHILL INFORMATION S","A","","","NA"
"31500","ALLIED BLENDERS AND DISTILLERS","A","","","NA"
"31501","ALLIED MEDIA NETWORK PRIVATE L","A","","","NA"
"31502","ALLIED NIPPON LIMITED","A","","","NA"
"31503","ALLIGATOR DESIGNS PRIVATE LIMI","A","","","NA"
"31504","ALLMINERAL ASIA PRIVATE LIMITE","A","","","NA"
